﻿средне,неочень,чуть-чуть,так-же,немного,сильно,очень,уверенно,капельку,mean,std,count
0,0,0,0,0,0,0,1,0,0.5539123248385326,0.07791207018446936,29
0,0,0,0,0,0,1,1,0,0.628518265195253,0.05957726870676518,3
0,0,0,0,0,1,0,0,0,0.6899955355391548,0.0808440820229056,21
0,0,0,0,0,1,1,0,0,0.8227558535046272,0.047093005802512945,7
0,0,0,0,1,0,0,0,0,0.25065010191542986,0.06276006330209184,45
0,0,0,1,0,0,0,0,0,0.00893607116445633,0.007083337693895236,4
0,0,1,0,0,0,0,0,0,0.09182570031089698,0.025734955487766654,33
0,0,1,0,0,0,0,0,1,0.04225943626454073,0.01826431757701158,13
0,0,1,0,0,0,1,0,1,0.015916126199702063,,1
0,0,1,0,1,0,0,0,0,0.20278543311318104,0.05262530676043988,2
0,1,0,0,0,1,0,0,0,0.29145300592933865,0.023068256043834414,4
1,0,0,0,0,0,0,0,0,0.3667979910031354,0.0664382580338345,29
