,comands,real_current,goal_current,goal_next
0,немного вверх ,0.0,0.0,0.5
1,чуть-чуть вниз ,0.24824249744415283,0.5,0.057947154969272385
2,чуть-чуть вверх ,0.12255264818668365,0.057947154969272385,0.21118402951338766
3,чуть-чуть врниз ,0.24824249744415283,0.21118402951338766,0.03633009020933786
4,сильно вверх ,0.24824249744415283,0.03633009020933786,0.7131141746114735
5,вниз ,0.9116010665893555,0.7131141746114735,0.5984805173501252
6,вниз уверенно ,0.6292846500873566,0.5984805173501252,0.07441699974614935
7,чуть-чуть вниз ,0.12136760354042053,0.07441699974614935,0.024197112601289983
8,сильно очень вверх ,-0.004322245717048645,0.024197112601289983,0.9574454562046141
9,чуть-чуть вверх ,0.7960099428892136,0.9574454562046141,0.8302764042657023
10,сильно вниз уверенно ,0.9216997921466827,0.8302764042657023,0.11281220880897047
11,вверх ,0.031419724225997925,0.11281220880897047,0.5769861675919175
12,сильно вверх ,0.3137361407279968,0.5769861675919175,0.8882944144070767
13,сильно вниз очень-очень ,0.9770947098731995,0.8882944144070767,0.07349617938697195
14,очень вверх уверенно ,0.17676252126693726,0.07349617938697195,0.7485091116998601
15,чуть-чуть вверх ,0.8253254890441895,0.7485091116998601,0.89751056690408
16,вниз немного ,0.9510153383016586,0.89751056690408,0.7259642503719776
17,вниз ,0.7027728408575058,0.7259642503719776,0.2605131052952917
18,вперёд ,0.4204564243555069,0.2605131052952917,0.2607625693683815
